Date,ATW,BOA,CDM,CIH,CSR,GAZ,HPS,IAM,LBV,LHF,LSE,MNG,SID,TQM,WAA
2023-01-13,,,,,,,,,,,,,,,
2023-01-20,,,,,,,,,,,,,,,
2023-01-27,,,,,,,,,,,,,,,
2023-02-03,,,,,,,,,,,,,,,
2023-02-10,,,,,,,,,,,,,,,
2023-03-17,,,,,,,,,,,,,,,
2023-03-24,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,
2023-04-07,,,,,,,,,,,,,,,
2023-04-14,,,,,,,,,,,,,,,
2023-04-21,,,,,,,,,,,,,,,
2023-04-28,,,,,,,,,,,,,,,
2023-05-05,,,,,,,,,,,,,,,
2023-05-12,,,,,,,,,,,,,,,
2023-05-19,,,,,,,,,,,,,,,
2023-05-26,,,,,,,,,,,,,,,
2023-06-02,,,,,,,,,,,,,,,
2023-06-09,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,,,,,
2023-06-23,,,,,,,,,,,,,,,
2023-07-03,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,,,,,,,,
2023-07-14,,,,,,,,,,,,,,,
2023-07-21,,,,,,,,,,,,,,,
2023-07-28,,,,,,,,,,,,,,,
2023-08-04,,,,,,,,,,,,,,,
2023-08-11,,,,,,,,,,,,,,,
2023-08-18,,,,,,,,,,,,,,,
2023-08-25,,,,,,,,,,,,,,,
2023-09-01,,,,,,,,,,,,,,,
2023-09-08,,,,,,,,,,,,,,,
2023-09-15,,,,,,,,,,,,,,,
2023-09-22,,,,,,,,,,,,,,,
2023-10-02,,,,,,,,,,,,,,,
2023-10-06,,,,,,,,,,,,,,,
2023-10-13,,,,,,,,,,,,,,,
2023-10-20,,,,,,,,,,,,,,,
2023-10-27,,,,,,,,,,,,,,,
2023-11-03,,,,,,,,,,,,,,,
2023-11-10,,,,,,,,,,,,,,,
2023-11-17,,,,,,,,,,,,,,,
2023-11-24,,,,,,,,,,,,,,,
2023-12-01,,,,,,,,,,,,,,,
2023-12-08,,,,,,,,,,,,,,,
2023-12-15,,,,,,,,,,,,,,,
2023-12-22,,,,,,,,,,,,,,,
2023-12-29,,,,,,,,,,,,,,,
2024-01-05,,,,,,,,,,,,,,,
2024-01-12,,,,,,,,,,,,,,,
2024-01-19,,,,,,,,,,,,,,,
2024-01-26,,,,,,,,,,,,,,,
2024-02-02,0.11111111111111106,0.39999999999999997,0.6444444444444444,0.4444444444444444,0.24444444444444444,0.6,0.6888888888888888,0.7999999999999999,0.31111111111111106,0.5111111111111111,0.3111111111111111,0.888888888888889,0.9333333333333332,0.7999999999999999,0.3111111111111111
2024-02-09,0.17777777777777773,0.3333333333333333,0.7111111111111111,0.5555555555555555,0.19999999999999996,0.5555555555555555,0.6888888888888888,0.8444444444444444,0.3333333333333333,0.4666666666666666,0.35555555555555557,0.8666666666666667,0.911111111111111,0.7555555555555555,0.24444444444444438
2024-02-16,0.2222222222222222,0.31111111111111106,0.6666666666666666,0.5333333333333333,0.19999999999999996,0.5777777777777778,0.6888888888888888,0.9111111111111111,0.4000000000000001,0.4444444444444444,0.24444444444444438,0.8444444444444444,0.911111111111111,0.7555555555555555,0.2888888888888889
2024-02-23,0.2222222222222222,0.31111111111111106,0.6666666666666666,0.5777777777777778,0.26666666666666666,0.5777777777777778,0.6888888888888888,0.9111111111111111,0.4000000000000001,0.39999999999999997,0.22222222222222224,0.8444444444444444,0.911111111111111,0.7555555555555555,0.24444444444444438
2024-03-01,0.19999999999999996,0.35555555555555557,0.688888888888889,0.5777777777777778,0.26666666666666666,0.5777777777777778,0.6888888888888888,0.9111111111111111,0.31111111111111106,0.4222222222222222,0.3111111111111111,0.8444444444444444,0.8666666666666666,0.7777777777777778,0.19999999999999996
2024-03-08,0.22222222222222224,0.3333333333333333,0.6444444444444444,0.6222222222222222,0.24444444444444438,0.5777777777777778,0.6888888888888888,0.9111111111111111,0.3333333333333333,0.4444444444444445,0.3333333333333333,0.8444444444444444,0.8444444444444444,0.7777777777777778,0.17777777777777773
2024-03-15,0.24444444444444446,0.3111111111111111,0.6888888888888888,0.6,0.26666666666666666,0.5777777777777778,0.6888888888888888,0.9111111111111111,0.31111111111111106,0.4444444444444445,0.35555555555555557,0.8444444444444444,0.8444444444444444,0.7555555555555555,0.1555555555555555
2024-03-22,0.2888888888888889,0.2666666666666666,0.6888888888888888,0.5777777777777778,0.2888888888888889,0.5555555555555555,0.6888888888888888,0.9333333333333332,0.3333333333333333,0.4444444444444445,0.3333333333333333,0.8444444444444444,0.8444444444444444,0.7555555555555555,0.1555555555555555
2024-03-29,0.2888888888888889,0.2666666666666666,0.6666666666666666,0.5777777777777778,0.2888888888888889,0.5555555555555555,0.6888888888888888,0.9333333333333332,0.3333333333333333,0.4444444444444445,0.3333333333333333,0.8444444444444444,0.8444444444444444,0.7777777777777778,0.1555555555555555
2024-04-05,0.2888888888888889,0.2666666666666666,0.6888888888888888,0.6222222222222222,0.2888888888888889,0.6,0.6888888888888888,0.9111111111111111,0.37777777777777777,0.35555555555555546,0.37777777777777777,0.6888888888888888,0.9333333333333332,0.7333333333333333,0.17777777777777773
2024-04-15,0.24444444444444438,0.2888888888888889,0.6888888888888888,0.6222222222222222,0.2888888888888889,0.5777777777777778,0.37777777777777777,0.9333333333333332,0.48888888888888893,0.37777777777777777,0.37777777777777777,0.8444444444444444,0.9555555555555554,0.7333333333333334,0.19999999999999996
2024-04-19,0.26666666666666666,0.26666666666666666,0.6666666666666666,0.6444444444444444,0.2888888888888889,0.5777777777777778,0.39999999999999997,0.8666666666666666,0.48888888888888893,0.3999999999999999,0.37777777777777777,0.9777777777777777,0.8888888888888888,0.7333333333333334,0.1555555555555555
2024-04-26,0.2888888888888889,0.24444444444444446,0.6444444444444444,0.6666666666666666,0.26666666666666666,0.5333333333333333,0.4222222222222222,0.8666666666666666,0.48888888888888893,0.4222222222222222,0.39999999999999997,0.9777777777777777,0.8888888888888888,0.7333333333333334,0.1555555555555555
2024-05-03,0.2888888888888889,0.24444444444444446,0.6666666666666666,0.6,0.24444444444444438,0.5333333333333333,0.37777777777777777,0.8444444444444444,0.5111111111111111,0.4222222222222222,0.37777777777777777,0.9777777777777777,0.9111111111111111,0.7777777777777778,0.2222222222222222
2024-05-10,0.2888888888888889,0.24444444444444446,0.6444444444444444,0.6222222222222222,0.24444444444444438,0.5111111111111111,0.37777777777777777,0.8444444444444444,0.6,0.37777777777777777,0.37777777777777777,0.9777777777777777,0.9111111111111111,0.7555555555555555,0.2222222222222222
2024-05-17,0.3333333333333333,0.2666666666666666,0.6222222222222222,0.6444444444444444,0.15555555555555553,0.5333333333333333,0.39999999999999997,0.6666666666666666,0.6222222222222222,0.4222222222222222,0.37777777777777777,0.9777777777777777,0.9111111111111111,0.7999999999999999,0.26666666666666666
2024-05-24,0.26666666666666666,0.2666666666666666,0.6666666666666666,0.5555555555555555,0.17777777777777773,0.5555555555555555,0.4222222222222222,0.6,0.6666666666666666,0.4666666666666666,0.39999999999999997,0.9777777777777777,0.9111111111111111,0.7777777777777778,0.2888888888888889
2024-05-31,0.2888888888888889,0.3111111111111111,0.6888888888888888,0.5777777777777778,0.19999999999999996,0.5777777777777778,0.4444444444444444,0.5777777777777778,0.6888888888888888,0.4444444444444445,0.19999999999999996,0.9777777777777777,0.9111111111111111,0.7777777777777778,0.3333333333333333
2024-06-07,0.26666666666666666,0.3111111111111111,0.6888888888888888,0.5555555555555555,0.19999999999999996,0.5555555555555555,0.4444444444444444,0.6,0.6888888888888888,0.39999999999999997,0.15555555555555553,0.9777777777777777,0.9111111111111111,0.7777777777777778,0.4666666666666666
2024-06-14,0.1555555555555555,0.31111111111111106,0.5777777777777778,0.5555555555555555,0.19999999999999996,0.5777777777777778,0.5111111111111111,0.6,0.6888888888888888,0.4444444444444444,0.17777777777777778,0.9777777777777777,0.9111111111111111,0.8000000000000002,0.5111111111111111
2024-06-21,0.17777777777777773,0.2888888888888889,0.5777777777777778,0.5777777777777778,0.17777777777777773,0.5777777777777778,0.5111111111111111,0.6,0.6444444444444445,0.4444444444444444,0.19999999999999996,0.9777777777777777,0.9111111111111111,0.8222222222222223,0.5111111111111111
2024-06-28,0.1555555555555555,0.2222222222222222,0.6888888888888888,0.5111111111111111,0.15555555555555553,0.5333333333333333,0.4444444444444444,0.6888888888888888,0.7111111111111111,0.2888888888888889,0.4888888888888889,0.9777777777777777,0.9111111111111111,0.7777777777777778,0.4444444444444444
2024-07-05,0.13333333333333328,0.15555555555555553,0.6444444444444444,0.39999999999999997,0.24444444444444446,0.5555555555555555,0.5333333333333333,0.6888888888888888,0.7111111111111111,0.26666666666666666,0.5333333333333333,0.9777777777777777,0.9111111111111111,0.7777777777777778,0.4666666666666666
2024-07-12,0.11111111111111106,0.17777777777777773,0.7777777777777778,0.4000000000000001,0.2666666666666666,0.5333333333333333,0.5111111111111111,0.7111111111111112,0.6666666666666666,0.26666666666666666,0.5333333333333333,0.9777777777777777,0.9111111111111111,0.7333333333333333,0.4222222222222222
2024-07-19,0.11111111111111106,0.2888888888888889,0.7999999999999999,0.35555555555555557,0.24444444444444438,0.5555555555555555,0.4666666666666666,0.7111111111111112,0.6888888888888888,0.24444444444444446,0.5333333333333333,0.9111111111111111,0.9333333333333332,0.7333333333333333,0.4222222222222222
2024-07-26,0.1333333333333333,0.2666666666666666,0.8222222222222223,0.4222222222222222,0.1333333333333333,0.5333333333333333,0.6,0.6666666666666666,0.7111111111111111,0.19999999999999996,0.5555555555555555,0.9333333333333332,0.8222222222222223,0.7777777777777777,0.4222222222222222
2024-08-02,0.1555555555555555,0.24444444444444446,0.8444444444444444,0.4444444444444444,0.1333333333333333,0.5111111111111111,0.6,0.6444444444444445,0.7555555555555555,0.19999999999999996,0.6,0.888888888888889,0.8666666666666666,0.6666666666666666,0.4444444444444444
2024-08-09,0.17777777777777773,0.24444444444444446,0.8444444444444444,0.39999999999999997,0.1333333333333333,0.5333333333333333,0.6,0.6444444444444445,0.6444444444444444,0.17777777777777773,0.5777777777777777,0.9111111111111111,0.9333333333333332,0.6888888888888888,0.4888888888888889
2024-08-16,0.17777777777777773,0.2222222222222222,0.8444444444444444,0.4222222222222222,0.15555555555555553,0.6222222222222222,0.6444444444444445,0.5111111111111111,0.6444444444444444,0.17777777777777773,0.6444444444444444,0.8444444444444444,0.8666666666666666,0.6666666666666666,0.5555555555555555
2024-08-23,0.17777777777777773,0.24444444444444446,0.8444444444444444,0.37777777777777777,0.11111111111111106,0.6222222222222222,0.6888888888888888,0.5777777777777778,0.6000000000000001,0.19999999999999996,0.6222222222222221,0.8222222222222223,0.9333333333333332,0.6666666666666666,0.5111111111111111
2024-08-30,0.08888888888888884,0.26666666666666666,0.8444444444444444,0.37777777777777777,0.1333333333333333,0.6666666666666666,0.8666666666666666,0.5777777777777778,0.6222222222222222,0.24444444444444438,0.5555555555555555,0.7111111111111111,0.8666666666666666,0.6888888888888888,0.4888888888888889
2024-09-06,0.08888888888888884,0.26666666666666666,0.8666666666666667,0.37777777777777777,0.1555555555555555,0.6444444444444444,0.8666666666666666,0.6444444444444445,0.6222222222222222,0.26666666666666666,0.5555555555555556,0.6888888888888888,0.8444444444444444,0.6444444444444444,0.4666666666666666
2024-09-13,0.08888888888888884,0.24444444444444446,0.888888888888889,0.35555555555555546,0.1333333333333333,0.6444444444444444,0.8666666666666666,0.6,0.6222222222222222,0.26666666666666666,0.5555555555555556,0.7777777777777777,0.8444444444444444,0.6444444444444444,0.4666666666666666
2024-09-20,0.0666666666666666,0.17777777777777778,0.888888888888889,0.39999999999999997,0.2888888888888889,0.6222222222222222,0.8666666666666666,0.6444444444444444,0.6222222222222222,0.31111111111111106,0.5333333333333333,0.6888888888888888,0.8222222222222223,0.6,0.4666666666666666
2024-09-27,0.0666666666666666,0.19999999999999996,0.8444444444444444,0.4666666666666666,0.26666666666666666,0.5333333333333333,0.8222222222222223,0.6666666666666666,0.4888888888888889,0.35555555555555557,0.3111111111111111,0.7555555555555555,0.8666666666666667,0.8444444444444444,0.5111111111111111
2024-10-04,0.08888888888888884,0.19999999999999996,0.8444444444444444,0.4888888888888889,0.2888888888888889,0.4222222222222222,0.7999999999999999,0.7111111111111111,0.5111111111111111,0.35555555555555557,0.31111111111111106,0.7777777777777777,0.7999999999999999,0.8444444444444444,0.5555555555555555
2024-10-11,0.08888888888888884,0.17777777777777778,0.8222222222222223,0.5555555555555555,0.3333333333333333,0.4444444444444445,0.6222222222222221,0.7111111111111112,0.5555555555555555,0.2888888888888889,0.3111111111111111,0.8222222222222223,0.8444444444444444,0.9111111111111111,0.5111111111111111
2024-10-18,0.13333333333333328,0.17777777777777773,0.9555555555555556,0.5555555555555555,0.31111111111111106,0.4000000000000001,0.6,0.688888888888889,0.7111111111111111,0.24444444444444446,0.3111111111111111,0.7111111111111111,0.7999999999999999,0.8888888888888888,0.5111111111111111
2024-10-25,0.11111111111111106,0.17777777777777773,0.9777777777777777,0.5333333333333333,0.3111111111111111,0.39999999999999997,0.6222222222222221,0.688888888888889,0.7555555555555555,0.24444444444444446,0.3333333333333333,0.6888888888888888,0.6666666666666666,0.8888888888888888,0.6
2024-11-01,0.11111111111111106,0.17777777777777773,0.9555555555555556,0.48888888888888893,0.3111111111111111,0.39999999999999997,0.6,0.6666666666666666,0.7333333333333333,0.24444444444444446,0.31111111111111106,0.6444444444444445,0.8666666666666667,0.8888888888888888,0.6
2024-11-08,0.13333333333333328,0.17777777777777773,0.9555555555555556,0.48888888888888893,0.2666666666666666,0.37777777777777777,0.6,0.688888888888889,0.6444444444444444,0.26666666666666666,0.31111111111111106,0.6666666666666666,0.9333333333333332,0.8444444444444444,0.6444444444444445
2024-11-15,0.13333333333333328,0.17777777777777778,0.9555555555555556,0.4666666666666666,0.2222222222222222,0.35555555555555557,0.6222222222222222,0.7333333333333334,0.6,0.37777777777777777,0.2888888888888888,0.6444444444444445,0.911111111111111,0.8666666666666666,0.6444444444444445
2024-11-22,0.13333333333333328,0.19999999999999996,0.9555555555555556,0.4666666666666666,0.2222222222222222,0.3333333333333333,0.6222222222222222,0.7333333333333334,0.5777777777777778,0.37777777777777777,0.3111111111111111,0.6666666666666666,0.9333333333333332,0.8444444444444444,0.6222222222222222
2024-11-29,0.13333333333333328,0.17777777777777778,0.9777777777777777,0.5111111111111111,0.24444444444444446,0.35555555555555546,0.48888888888888893,0.7111111111111111,0.6444444444444444,0.35555555555555546,0.3111111111111111,0.6222222222222222,0.8888888888888888,0.8666666666666666,0.7111111111111111
2024-12-06,0.13333333333333328,0.17777777777777778,0.9777777777777777,0.4666666666666666,0.24444444444444446,0.3333333333333333,0.48888888888888893,0.7111111111111111,0.6444444444444444,0.37777777777777777,0.3333333333333333,0.6222222222222222,0.8888888888888888,0.8666666666666666,0.7333333333333334
